"cons","bmiz","seifa","varIntercept","varSlope","varResid","secons","sebmiz","seseifa","pbmiz","pSeifa","pCons","Method"
0.483296216,-0.171586807,0.166565809,0.376547808,0.24069245,0.884412028,0.062539972,0.064757332,0.055679215,1,1,1,10
0.555264184,-0.194154022,0.179047239,0.39322627,0.20062774,0.872042756,0.061744114,0.056371992,0.063069128,1,1,1,10
0.420871712,-0.129600598,0.229757173,0.460645294,0.196626211,0.917090298,0.065786607,0.053389046,0.059296017,1,1,1,10
0.511359608,-0.256227833,0.187919068,0.418540634,0.233972715,0.872979592,0.062535678,0.053898076,0.057642175,1,1,1,10
0.463925387,-0.181386093,0.294956963,0.370221002,0.224264495,0.850012131,0.060120174,0.060289712,0.058243993,1,1,1,10
0.46790841,-0.155920232,0.315348513,0.449019916,0.237914086,0.867116199,0.067203297,0.056001581,0.067787694,1,1,1,10
0.579459092,-0.172368752,0.265320384,0.458705037,0.211439734,0.870686214,0.065693015,0.056960729,0.069316742,1,1,1,10
0.539306134,-0.210059958,0.228672079,0.381820321,0.244626381,0.872122053,0.059518678,0.05395161,0.052974702,1,1,1,10
0.531880505,-0.21229875,0.375632731,0.365550589,0.241174063,0.894278649,0.05974489,0.061495255,0.052637534,1,0,1,10
0.455436865,-0.102042273,0.142008388,0.363075052,0.262371697,0.909815567,0.06203803,0.061314381,0.058235468,1,1,1,10
0.444731987,-0.163588342,0.27125544,0.424415646,0.264689528,0.923743248,0.067220412,0.067022677,0.063867801,1,1,1,10
0.45936002,-0.202674309,0.272294497,0.352205003,0.23998175,0.8785825,0.059401295,0.059243198,0.060511541,1,1,1,10
0.450816407,-0.176803914,0.248749883,0.434294506,0.278856735,0.874997759,0.063231832,0.054561213,0.065617325,1,1,1,10
0.476982461,-0.24188726,0.21661144,0.413229602,0.259418125,0.87586925,0.062857924,0.055756003,0.066130398,1,1,1,10
0.457225405,-0.192790846,0.29541827,0.381185773,0.174846002,0.917547764,0.060010332,0.053275931,0.050501549,1,1,1,10
0.511445437,-0.114948224,0.211704351,0.469724364,0.147079721,0.920701794,0.070179929,0.060802128,0.058683933,1,1,1,10
